segment_idx,visible_edges
102,"126,139;126,152;139,125;139,126;139,127;139,140;139,141;139,152;139,153;140,139;140,152;141,139;152,126;152,139;152,140;152,153;152,154;153,139;153,152;154,152"
103,"126,139;126,152;139,125;139,126;139,127;139,140;139,141;139,152;139,153;140,139;140,152;141,139;152,126;152,139;152,140;153,139"
104,"126,139;126,152;127,153;139,125;139,126;139,127;139,140;139,141;139,152;139,153;140,139;140,152;140,153;141,139;152,126;152,139;152,140;153,127;153,139;153,140"
105,"127,140;127,153;139,140;139,141;139,153;140,126;140,127;140,128;140,139;140,141;140,142;140,152;140,153;140,154;141,139;141,140;141,153;142,140;152,140;152,153;152,154;153,127;153,139;153,140;153,141;153,152;153,154;153,155;153,160;154,140;154,152;154,153;155,153"
106,"128,154;141,154;141,160;152,154;153,154;153,155;153,160;154,128;154,140;154,141;154,142;154,152;154,153;154,155;154,156;154,160;154,161;154,165;155,153;155,154;155,160;156,154;160,141;160,153;160,154;160,155;160,161;160,162;160,165;160,166;160,171;161,154;161,160;162,160;165,154;165,160;171,160"
107,"141,160;153,160;154,160;154,165;155,160;160,141;160,153;160,154;160,155;160,161;160,162;160,165;160,166;160,171;161,160;162,160;165,154;165,160;166,160;171,160"
108,"141,160;154,160;154,165;160,141;160,153;160,154;160,155;160,161;160,162;160,165;160,166;160,171;161,160;161,165;162,160;165,154;165,160;165,161;165,166;165,167;165,171;165,172;165,179;166,160;166,165;167,165;171,160;171,165;179,165"
109,"154,165;160,165;160,171;161,165;165,154;165,160;165,161;165,166;165,167;165,171;165,172;165,179;166,165;167,165;171,160;171,165;172,165;179,165"
110,"154,165;160,165;160,171;165,154;165,160;165,161;165,166;165,167;165,171;165,172;165,179;166,165;166,171;167,165;171,160;171,165;171,166;171,172;171,173;171,178;171,179;171,180;171,192;172,165;172,171;173,171;179,165;179,171;192,171"
111,"160,171;165,171;165,179;166,171;171,160;171,165;171,166;171,172;171,173;171,178;171,179;171,180;171,192;172,171;173,171;178,171;179,165;179,171;180,171;192,171"
