segment_idx,visible_edges,edge_count
58,"119,120;119,128;119,129;120,119;120,128;127,128;127,136;127,137;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,119;129,128;129,137;129,138;136,127;136,128;136,137;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,128;138,129;138,130;138,137;138,139;138,144;138,145;138,146;139,138;144,137;144,138;144,145;145,137;145,138;145,144",44
59,"119,128;120,128;127,128;127,136;127,137;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,128;129,137;129,138;130,138;136,127;136,128;136,137;136,144;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,128;138,129;138,130;138,137;138,139;138,144;138,145;138,146;139,138;144,136;144,137;144,138;144,145;144,153;144,154;145,137;145,138;145,144;145,153;146,138;153,144;153,145;154,144",50
60,"119,128;120,128;127,128;127,136;127,137;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,128;129,137;129,138;130,138;136,127;136,128;136,137;136,144;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,128;138,129;138,130;138,137;138,139;138,144;138,145;138,146;139,138;139,145;144,136;144,137;144,138;144,145;145,137;145,138;145,139;145,144;145,146;145,153;145,154;145,155;146,138;146,145;153,145;154,145;155,145",54
61,"119,128;120,128;127,128;127,136;127,137;128,119;128,120;128,127;128,129;128,136;128,137;128,138;129,128;129,137;136,127;136,128;136,137;136,144;137,127;137,128;137,129;137,136;137,138;137,144;137,145;138,128;138,137;144,136;144,137;145,137",30
62,"128,138;129,138;130,138;136,144;137,138;137,144;137,145;138,128;138,129;138,130;138,137;138,139;138,144;138,145;138,146;139,138;139,145;144,136;144,137;144,138;144,145;144,153;144,154;145,137;145,138;145,139;145,144;145,146;145,153;145,154;145,155;146,138;146,145;146,154;153,144;153,145;153,154;154,144;154,145;154,146;154,153;154,155;154,166;154,167;154,168;155,145;155,154;166,154;167,154;168,154",50
63,"137,145;138,145;139,145;144,145;144,153;144,154;145,137;145,138;145,139;145,144;145,146;145,153;145,154;145,155;146,145;146,154;153,144;153,145;153,154;153,165;153,166;153,167;154,144;154,145;154,146;154,153;154,155;154,166;154,167;154,168;155,145;155,154;155,167;165,153;166,153;166,154;166,167;167,153;167,154;167,155;167,166;167,168;167,179;167,180;167,181;168,154;168,167;179,167;180,167;181,167",50
64,"153,165;153,166;154,166;164,165;164,178;165,153;165,164;165,166;165,177;165,178;165,179;166,153;166,154;166,165;166,167;166,178;166,179;166,180;167,166;167,179;167,180;177,165;177,178;177,189;178,164;178,165;178,166;178,177;178,179;178,188;178,189;178,190;179,165;179,166;179,167;179,178;179,180;179,189;179,190;179,191;180,166;180,167;180,179;188,178;189,177;189,178;189,179;190,178;190,179;191,179",50
65,"152,164;153,165;163,164;163,177;164,152;164,163;164,165;164,176;164,177;164,178;165,153;165,164;165,166;165,177;165,178;165,179;166,165;166,178;166,179;167,179;176,164;176,177;177,163;177,164;177,165;177,176;177,178;177,187;177,188;177,189;178,164;178,165;178,166;178,177;178,179;178,188;178,189;178,190;179,165;179,166;179,167;179,178;179,180;179,189;179,190;179,191;180,179;187,177;188,177;188,178;189,177;189,178;189,179;190,178;190,179;191,179",56
66,"152,164;162,176;163,164;163,176;163,177;164,152;164,163;164,165;164,176;164,177;164,178;165,164;165,177;165,178;166,178;175,176;176,162;176,163;176,164;176,175;176,177;176,186;176,187;176,188;177,163;177,164;177,165;177,176;177,178;177,187;177,188;177,189;178,164;178,165;178,166;178,177;178,179;178,188;178,189;178,190;179,178;186,176;187,176;187,177;188,176;188,177;188,178;189,177;189,178;190,178",50
67,"151,152;151,162;151,163;152,151;152,162;152,163;152,164;161,162;162,151;162,152;162,161;162,163;162,174;162,175;162,176;163,151;163,152;163,162;163,164;163,175;163,176;163,177;164,152;164,163;174,162;175,162;175,163;176,162;176,163;177,163",30
68,"151,152;151,162;151,163;152,151;152,162;152,163;152,164;161,162;162,151;162,152;162,161;162,163;162,174;162,175;162,176;163,151;163,152;163,162;163,164;163,175;163,176;163,177;164,152;164,163;164,165;164,176;164,177;164,178;165,164;165,177;174,162;175,162;175,163;175,176;176,162;176,163;176,164;176,175;176,177;176,186;176,187;176,188;177,163;177,164;177,165;177,176;178,164;186,176;187,176;188,176",50
69,"151,152;151,162;151,163;152,151;152,162;152,163;152,164;161,162;161,175;162,151;162,152;162,161;162,163;162,174;162,175;162,176;163,151;163,152;163,162;163,164;163,175;163,176;163,177;164,152;164,163;164,165;164,176;164,177;164,178;165,164;174,162;175,161;175,162;175,163;175,176;176,162;176,163;176,164;176,175;176,177;176,186;176,187;176,188;177,163;177,164;177,176;178,164;186,176;187,176;188,176",50
70,"151,152;151,162;151,163;152,151;152,162;152,163;160,161;161,160;161,162;161,173;161,174;161,175;162,151;162,152;162,161;162,163;162,174;162,175;162,176;163,151;163,152;163,162;163,164;163,175;163,176;163,177;164,163;164,176;173,161;174,161;174,162;174,175;175,161;175,162;175,163;175,174;175,176;175,185;175,186;175,187;176,162;176,163;176,164;176,175;177,163;185,175;186,175;187,175",48
71,"151,152;151,162;151,163;152,151;152,162;152,163;152,164;162,151;162,152;162,163;163,151;163,152;163,162;163,164;163,175;163,176;163,177;164,152;164,163;164,176;175,163;176,163;176,164;177,163",24
72,"151,162;152,162;160,174;161,162;161,174;161,175;162,151;162,152;162,161;162,163;162,174;162,175;162,176;163,162;163,175;163,176;163,177;164,176;173,174;174,160;174,161;174,162;174,173;174,175;174,184;174,185;174,186;175,161;175,162;175,163;175,174;175,176;175,185;175,186;175,187;176,162;176,163;176,164;176,175;176,177;176,186;176,187;176,188;177,163;177,176;184,174;185,174;185,175;186,174;186,175;186,176;187,175;187,176",53
73,"159,173;160,161;160,173;160,174;161,160;161,162;161,173;161,174;161,175;162,161;162,174;162,175;163,175;172,173;173,159;173,160;173,161;173,172;173,174;173,183;173,184;173,185;174,160;174,161;174,162;174,173;174,175;174,184;174,185;174,186;175,161;175,162;175,163;175,174;175,176;175,185;175,186;175,187;176,175;183,173;184,173;184,174;185,173;185,174;185,175;186,174;186,175;187,175",48
74,"150,160;158,172;159,160;159,172;159,173;160,150;160,159;160,161;160,172;160,173;160,174;161,160;161,162;161,173;161,174;161,175;162,161;162,174;171,172;172,158;172,159;172,160;172,171;172,173;172,182;172,183;172,184;173,159;173,160;173,161;173,172;173,174;173,183;173,184;173,185;174,160;174,161;174,162;174,173;174,175;174,184;174,185;174,186;175,161;175,174;182,172;183,172;183,173;184,172;184,173;184,174;185,173;185,174;186,174",54
75,"141,149;142,149;142,150;143,149;143,150;148,149;148,158;149,141;149,142;149,143;149,148;149,150;149,157;149,158;149,159;150,142;150,143;150,149;150,158;150,159;150,160;157,149;157,158;158,148;158,149;158,150;158,157;158,159;158,170;158,171;158,172;159,149;159,150;159,158;159,160;159,171;159,172;159,173;160,150;160,159;160,172;170,158;171,158;171,159;171,172;172,158;172,159;172,160;172,171;172,173;172,182;172,183;172,184;173,159;173,172;182,172;183,172;184,172",58
