edge_start_node,edge_end_node,visible_segments,segment_count
115,101,,0
115,102,,0
115,114,,0
115,121,,0
115,122,,0
116,103,,0
116,104,84;85,2
116,117,84;85,2
116,123,,0
116,124,84;85,2
117,103,84;85,2
117,104,84;85,2
117,105,84;85,2
117,116,84;85,2
117,118,81;84;85,3
117,123,84;85,2
117,124,82;84;85,3
117,125,78;79;80;81;82;84;85,7
118,104,81;84;85,3
118,105,81;84;85,3
118,117,81;84;85,3
118,124,81;82;84;85,4
118,125,78;79;80;81;82;84;85,7
118,126,78;81;82;83;84;85,6
119,112,53;54,2
119,113,53;54,2
119,120,57;58;54;55,4
119,128,54;55;57;58;59;60;61,7
119,129,57;58;54;55,4
120,112,53;54;55,3
120,113,53;54;55,3
120,114,53;54;55,3
120,119,57;58;54;55,4
120,121,54;55,2
120,128,54;55;57;58;59;60;61,7
120,129,57;54;55,3
120,130,54;55,2
121,113,53;54;55,3
121,114,,0
121,115,,0
121,120,54;55,2
121,122,,0
121,129,57;54;55,3
121,130,,0
121,131,,0
122,114,,0
122,115,,0
122,121,,0
122,130,,0
122,131,,0
123,116,,0
123,117,84;85,2
123,124,84;85,2
123,132,,0
123,133,77,1
124,116,84;85,2
124,117,82;84;85,3
124,118,81;82;84;85,4
124,123,84;85,2
124,125,78;79;80;81;82;84;85,7
124,132,84;85,2
124,133,85;84;77,3
124,134,77;79;80;81;82;83;84;85,8
125,117,78;79;80;81;82;84;85,7
125,118,78;79;80;81;82;84;85,7
125,124,78;79;80;81;82;84;85,7
125,126,78;79;80;81;82;83,6
125,133,77;78;79;80;81;82;83,7
125,134,77;78;79;80;81;82;83,7
125,135,78;79;80;81;82;83,6
126,118,78;81;82;83;84;85,6
126,125,78;79;80;81;82;83,6
126,134,77;78;79;80;81;82;83,7
126,135,78;79;80;81;82;83,6
127,128,55;56;57;58;59;60;61,7
127,136,56;57;58;59;60;61,6
127,137,56;57;58;59;60;61,6
128,119,54;55;57;58;59;60;61,7
128,120,54;55;57;58;59;60;61,7
128,127,55;56;57;58;59;60;61,7
128,129,54;55;57;58;59;60;61,7
128,136,55;56;57;58;59;60;61,7
128,137,55;56;57;58;59;60;61,7
128,138,55;57;58;59;60;61;62,7
129,119,57;58;54;55,4
129,120,57;54;55,3
129,121,57;54;55,3
129,128,54;55;57;58;59;60;61,7
129,130,57;54;55,3
129,137,54;55;56;57;58;59;60;61,8
129,138,54;55;57;58;59;60;62,7
129,139,57;54;55,3
130,120,54;55,2
130,121,,0
130,122,,0
130,129,57;54;55,3
130,131,,0
130,138,55;58;59;60;62,5
130,139,,0
130,140,,0
131,121,,0
131,122,,0
131,130,,0
131,139,,0
131,140,,0
132,123,,0
132,124,84;85,2
132,133,77,1
132,141,,0
132,142,76;77,2
133,123,77,1
133,124,85;84;77,3
133,125,77;78;79;80;81;82;83,7
133,132,77,1
133,134,76;77;79;80;81;82;83,7
133,141,77,1
133,142,76;77,2
133,143,80;76;77;79,4
